DATE,BOGZ1FL075035403Q
1985-10-01,52810.0
1986-01-01,.
1986-04-01,53530.0
1986-07-01,.
1986-10-01,54290.0
1987-01-01,.
1987-04-01,55180.0
1987-07-01,.
1987-10-01,55850.0
1988-01-01,.
1988-04-01,56680.0
1988-07-01,.
1988-10-01,57490.0
1989-01-01,.
1989-04-01,59170.0
1989-07-01,.
1989-10-01,59250.0
1990-01-01,.
1990-04-01,60480.0
1990-07-01,.
1990-10-01,60660.0
1991-01-01,.
1991-04-01,59660.0
1991-07-01,.
1991-10-01,58780.0
1992-01-01,.
1992-04-01,56510.0
1992-07-01,.
1992-10-01,56150.0
1993-01-01,.
1993-04-01,57470.0
1993-07-01,.
1993-10-01,58220.0
1994-01-01,.
1994-04-01,61500.0
1994-07-01,61330.0
1994-10-01,62620.0
1995-01-01,63340.0
1995-04-01,64200.0
1995-07-01,65540.0
1995-10-01,66710.0
1996-01-01,67930.0
1996-04-01,66926.0
1996-07-01,68057.0
1996-10-01,68912.0
1997-01-01,70726.0
1997-04-01,73061.0
1997-07-01,74995.0
1997-10-01,77798.0
1998-01-01,80144.0
1998-04-01,81165.0
1998-07-01,82784.0
1998-10-01,83177.0
1999-01-01,82598.0
1999-04-01,86346.0
1999-07-01,92511.0
1999-10-01,95107.0
2000-01-01,95262.0
2000-04-01,95940.0
2000-07-01,98270.0
2000-10-01,100841.0
2001-01-01,102843.0
2001-04-01,104689.0
2001-07-01,105636.0
2001-10-01,107305.0
2002-01-01,110520.0
2002-04-01,112162.0
2002-07-01,113031.0
2002-10-01,116365.0
2003-01-01,120110.0
2003-04-01,122544.0
2003-07-01,124089.0
2003-10-01,125057.0
2004-01-01,126958.0
2004-04-01,131916.0
2004-07-01,137880.0
2004-10-01,142136.0
2005-01-01,145914.0
2005-04-01,152442.0
2005-07-01,161604.0
2005-10-01,167991.0
2006-01-01,168170.0
2006-04-01,165791.0
2006-07-01,170237.0
2006-10-01,178785.0
2007-01-01,178342.0
2007-04-01,173794.0
2007-07-01,170920.0
2007-10-01,168318.0
2008-01-01,164454.0
2008-04-01,160563.0
2008-07-01,155992.0
2008-10-01,147538.0
2009-01-01,136877.0
2009-04-01,127508.0
2009-07-01,122496.0
2009-10-01,120568.0
2010-01-01,121145.0
2010-04-01,127144.0
2010-07-01,136279.0
2010-10-01,141328.0
2011-01-01,142405.0
2011-04-01,144883.0
2011-07-01,150449.0
2011-10-01,153465.0
2012-01-01,151653.0
2012-04-01,154095.0
2012-07-01,161102.0
2012-10-01,165241.0
2013-01-01,167803.0
2013-04-01,170793.0
2013-07-01,174959.0
2013-10-01,179867.0
2014-01-01,178246.0
2014-04-01,177820.0
2014-07-01,188233.0
2014-10-01,197593.0
2015-01-01,202121.0
2015-04-01,207375.0
2015-07-01,210964.0
2015-10-01,214427.0
2016-01-01,219303.0
2016-04-01,224202.0
2016-07-01,228727.0
2016-10-01,231068.0
2017-01-01,232759.0
2017-04-01,237018.0
2017-07-01,242633.0
2017-10-01,248026.0
2018-01-01,252726.0
2018-04-01,257372.0
2018-07-01,261774.0
2018-10-01,264135.0
2019-01-01,268781.0
2019-04-01,275128.0
2019-07-01,280333.0
2019-10-01,286333.0
2020-01-01,290183.0
2020-04-01,296526.0
2020-07-01,305862.0
2020-10-01,311469.0
2021-01-01,322076.0
2021-04-01,342596.0
2021-07-01,367248.0
2021-10-01,386110.0
2022-01-01,402428.0
2022-04-01,419754.0
2022-07-01,413317.0
2022-10-01,390240.0
2023-01-01,381119.0
